City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,kruisfontein,-34.0033,24.7314,18.82,91,46,1.72,ZA,1709754352
83,trujillo,-8.116,-79.03,23.98,83,0,4.12,PE,1709754352
84,kaihua,23.3687,104.28,12.44,97,9,1.89,CN,1709754352
85,kedougou,12.5579,-12.1743,38.32,20,0,1.03,SN,1709754353
86,hawaiian paradise park,19.5933,-154.9731,21.73,94,100,2.57,US,1709754353
87,ta`u,-14.2336,-169.5144,28.03,75,96,4.13,AS,1709754353
88,lihue,21.9789,-159.3672,25.58,65,0,10.29,US,1709754353
89,belozersk,60.0326,37.7957,-5.01,99,98,1.79,RU,1709754353
90,mangrol,21.1167,70.1167,22.65,39,56,6.35,IN,1709754354
91,ilulissat,69.2167,-51.1,-11.99,85,75,2.06,GL,1709754354
92,hotan,37.0997,79.9269,4.8,40,96,3.89,CN,1709754354
93,longyearbyen,78.2186,15.6401,-6.09,68,40,3.6,SJ,1709754355
94,stanley,54.868,-1.6985,5.4,92,75,3.09,GB,1709754355
95,reggane,26.7158,0.1714,21.71,16,5,4.62,DZ,1709754355
96,aswan,24.0934,32.907,24.61,14,0,1.54,EG,1709754355
97,afaahiti,-17.75,-149.2833,28.93,80,100,5.38,PF,1709754356
98,punta alta,-38.8759,-62.0736,27.16,46,98,2.36,AR,1709754356
99,tura,25.5198,90.2201,15.2,25,0,1.95,IN,1709754356
100,uttar char fasson,22.2332,90.7132,22.12,36,2,3.34,BD,1709754357
101,laguna beach,33.5423,-117.7831,20.06,66,75,5.66,US,1709754357
102,iskateley,67.6803,53.1512,-4.99,95,100,5.36,RU,1709754357
103,paita,-5.0892,-81.1144,27.56,64,17,6.09,PE,1709754357
104,khark,29.2614,50.3306,18.88,63,0,3.83,IR,1709754358
105,shache,38.4167,77.2406,5.17,40,100,2.36,CN,1709754358
106,ladik,40.9106,35.8919,4.49,79,100,2.29,TR,1709754358
107,sisimiut,66.9395,-53.6735,-15.02,90,100,4.42,GL,1709754358
108,awjilah,29.1081,21.2869,16.07,52,0,4.98,LY,1709754359
109,lazaro cardenas,17.9583,-102.2,27.48,57,0,4.36,MX,1709754359
110,acarau,-2.8856,-40.12,27.45,82,100,5.04,BR,1709754359
111,mejit,10.2753,170.8646,26.5,80,100,10.68,MH,1709754359
112,havre,49.5833,0.3333,7.22,87,48,2.57,FR,1709754360
113,utrik,11.2278,169.8474,26.34,79,68,10.27,MH,1709754360
114,ramos arizpe,25.55,-100.9667,24.35,31,75,2.57,MX,1709754360
115,shohimardon,39.9839,71.8028,-1.57,67,100,2.35,UZ,1709754360
116,bethel,41.3712,-73.414,11.47,87,75,1.54,US,1709754360
117,sur,22.5667,59.5289,24.28,75,0,0.74,OM,1709754361
118,el eulma,36.1528,5.6902,8.34,64,12,2.66,DZ,1709754361
